Wavelength (nm),PY3 (mm-1/(mg/g)),PY65 (mm-1/(mg/g)),PY74 (mm-1/(mg/g)),PY100 (mm-1/(mg/g)),PY154 (mm-1/(mg/g)),PY175 (mm-1/(mg/g)),PR122 (mm-1/(mg/g)),PR170 (mm-1/(mg/g)),PR202 (mm-1/(mg/g)),PV15 (mm-1/(mg/g)),PV19 (mm-1/(mg/g)),PV23 (mm-1/(mg/g)),PG7 (mm-1/(mg/g)),PB15:3 (mm-1/(mg/g)),PO73 (mm-1/(mg/g)),Black (mm-1/(mg/g)),Ink (mm-1/(mg/g)),PW4 (mm-1/(mg/g)),PW6 (mm-1/(mg/g)),Al2O3 (mm-1/(mg/g))
415,0.064283586,0.032003045,0.040995434,0.003861212,0.117781683,0.071977095,0.047943994,0.024228043,0.044503406,0.011686083,0.047800805,0.033211869,0.031540767,0.031899166,0.053991194,0.122051948,0.084958669,0.125080161,0.473702594,0.031872024
414,0.064407614,0.032074551,0.041089476,0.003865281,0.117951097,0.07222145,0.048135522,0.024263974,0.044519921,0.011703124,0.047972691,0.03316028,0.031589865,0.032007524,0.054088027,0.12223396,0.08519176,0.125861001,0.473805758,0.031953068
413,0.064535125,0.032143969,0.041184083,0.003869313,0.118117999,0.072459544,0.048329955,0.02430017,0.044536777,0.011721585,0.048144578,0.033108255,0.031640613,0.032116467,0.054184861,0.122416878,0.085422004,0.126655115,0.473908923,0.032032705
412,0.064662124,0.032211461,0.04127942,0.003873467,0.118284901,0.072697637,0.048526539,0.024336366,0.044553335,0.011738627,0.048316464,0.033055332,0.031690347,0.032226607,0.054283593,0.122599797,0.085657198,0.127458573,0.474003355,0.032113749
411,0.06479179,0.032281041,0.041375671,0.003877643,0.118450679,0.072941993,0.048723122,0.024372562,0.044571787,0.011757088,0.048489479,0.033001405,0.031741096,0.032339151,0.054382324,0.122792499,0.085894494,0.128278018,0.474080729,0.032195778
410,0.064924939,0.032352273,0.041472561,0.003881734,0.118616757,0.073191101,0.048922216,0.024408712,0.044588048,0.011774129,0.048662494,0.032946811,0.031792162,0.03245257,0.054481056,0.12298072,0.086133892,0.129108396,0.474175161,0.032277807
409,0.065054909,0.032421416,0.041569725,0.003885911,0.1187792,0.073440209,0.049123855,0.024444685,0.044604308,0.011792591,0.048836637,0.03289155,0.031845079,0.032567478,0.054579788,0.123178725,0.086375393,0.12995046,0.474260862,0.03235952
408,0.065187032,0.032492648,0.04166762,0.003890109,0.118944979,0.073689317,0.0493251,0.024480169,0.044622165,0.011809632,0.049012555,0.032835053,0.031896463,0.03268297,0.054680419,0.123368761,0.086621843,0.130799156,0.474329504,0.032441549
407,0.065323152,0.032563881,0.041766353,0.003894307,0.119110758,0.073942844,0.049529249,0.024515919,0.044635892,0.011828094,0.049191015,0.032777903,0.031948482,0.032801773,0.054779151,0.12356858,0.086870395,0.131663838,0.474369779,0.032523578
406,0.06545261,0.032635113,0.041866091,0.003898559,0.11927766,0.074196371,0.049735549,0.024551622,0.044651557,0.011845135,0.04937125,0.032719867,0.032000502,0.032921158,0.054877883,0.123768399,0.087119945,0.132539453,0.474418383,0.032605607
405,0.065584221,0.032708434,0.041966468,0.003902865,0.119444263,0.074450566,0.049946904,0.024587148,0.044667222,0.011863596,0.049554027,0.032661165,0.032052839,0.033043562,0.054976615,0.123964729,0.0873706,0.133429467,0.474449927,0.032687951
404,0.065719315,0.032781754,0.042067774,0.003907192,0.119610867,0.074704427,0.050157865,0.02462294,0.044682589,0.011882058,0.049736804,0.032601009,0.03210619,0.033166549,0.055077246,0.124161059,0.087623357,0.134330413,0.47448147,0.032770295
403,0.06585441,0.032854801,0.042169995,0.003911557,0.11977747,0.074957954,0.05037137,0.024658909,0.044696061,0.011900519,0.049922124,0.032540537,0.032160379,0.033292846,0.055175978,0.124367173,0.087878217,0.135243046,0.474504283,0.032854715
402,0.065985509,0.032930211,0.042273219,0.003915944,0.119944372,0.075211147,0.050587387,0.024694389,0.04471113,0.011918981,0.05010603,0.032479181,0.032214048,0.033419727,0.055276608,0.12457859,0.088134074,0.136167364,0.474527095,0.032939451
401,0.066122245,0.033005183,0.042376444,0.003920293,0.12011461,0.075457744,0.050805553,0.024729957,0.044724305,0.011938862,0.050294252,0.032416589,0.032268352,0.033548389,0.055377239,0.124790913,0.088392142,0.137105328,0.474524116,0.033022464
