Wavelength (nm),PY3 (mm-1/(mg/g)),PY65 (mm-1/(mg/g)),PY74 (mm-1/(mg/g)),PY100 (mm-1/(mg/g)),PY154 (mm-1/(mg/g)),PY175 (mm-1/(mg/g)),PR122 (mm-1/(mg/g)),PR170 (mm-1/(mg/g)),PR202 (mm-1/(mg/g)),PV15 (mm-1/(mg/g)),PV19 (mm-1/(mg/g)),PV23 (mm-1/(mg/g)),PG7 (mm-1/(mg/g)),PB15:3 (mm-1/(mg/g)),PO73 (mm-1/(mg/g)),Black (mm-1/(mg/g)),Ink (mm-1/(mg/g)),PW4 (mm-1/(mg/g)),PW6 (mm-1/(mg/g)),Al2O3 (mm-1/(mg/g))
499,0.012521362,0.073810733,0,0.080159061,0.117912364,0.020381161,0.193610838,0.255674793,0.133522233,0.009600269,0.111538778,0.125599466,0.005560764,0.020275884,0.617796269,0.525889457,0.435631855,1.89E-06,2.27E-06,1.58E-06
498,0.013839364,0.080753032,0,0.084244989,0.122183417,0.021503759,0.190566233,0.253028055,0.132888874,0.009203038,0.110843726,0.122040001,0.00580209,0.019744266,0.60794206,0.525826651,0.436415532,1.89E-06,2.26E-06,1.58E-06
497,0.0152868,0.088031869,0,0.088278058,0.126553502,0.02273763,0.187483184,0.250410183,0.132276917,0.008801183,0.110312519,0.118383915,0.006033566,0.019248565,0.597916968,0.525751065,0.437098775,1.88E-06,2.28E-06,1.58E-06
496,0.016598755,0.095661459,0,0.092214918,0.130985644,0.024021886,0.184279718,0.247980037,0.131492672,0.008398033,0.109899229,0.114670788,0.006315087,0.018846306,0.587834916,0.525675654,0.437761704,1.88E-06,2.28E-06,1.58E-06
495,0.018061854,0.103550344,0,0.096052701,0.135533623,0.025386337,0.181026441,0.245763432,0.130633006,0.007985016,0.109597951,0.110958964,0.006714591,0.018502458,0.577847798,0.525794638,0.438469319,1.87E-06,2.27E-06,1.58E-06
494,0.019731965,0.111771061,0,0.099791052,0.140271849,0.026817511,0.177654407,0.243524847,0.129658781,0.007569786,0.109409094,0.107136679,0.00707102,0.018111881,0.568221432,0.525709574,0.43926971,1.86E-06,2.28E-06,1.58E-06
493,0.021458224,0.12024363,0,0.103394121,0.144957756,0.028303016,0.174182583,0.241423255,0.128575877,0.007151786,0.109244978,0.10329564,0.00746143,0.017892202,0.559354542,0.525612099,0.439903317,1.86E-06,2.30E-06,1.59E-06
492,0.023272922,0.128961219,0,0.106865314,0.149707899,0.029892499,0.170617622,0.239486282,0.12731194,0.006727311,0.109086204,0.099453906,0.00787345,0.017639177,0.55160788,0.525545566,0.440507483,1.85E-06,2.32E-06,1.58E-06
491,0.025286162,0.137884146,0,0.110215442,0.154432716,0.031570869,0.167025774,0.237596572,0.125979567,0.006309271,0.108923099,0.095556682,0.008417632,0.017465134,0.545418146,0.525490932,0.441133752,1.85E-06,2.32E-06,1.58E-06
490,0.027498945,0.147077227,0.000306931,0.113447878,0.159237757,0.033364921,0.16329563,0.235683001,0.124566857,0.005901902,0.108744994,0.091626902,0.008866558,0.017262222,0.540975207,0.525211135,0.441727245,1.84E-06,2.31E-06,1.59E-06
489,0.029748711,0.156468512,0.00098256,0.116561414,0.163989531,0.035247309,0.159537987,0.233935324,0.123047813,0.005493203,0.108487576,0.087797253,0.009428142,0.017082864,0.538601843,0.525193534,0.442322035,1.84E-06,2.31E-06,1.59E-06
488,0.032194508,0.165971543,0.002095391,0.119544031,0.168849437,0.037271784,0.155781944,0.232176961,0.121425058,0.005092965,0.108130512,0.083943093,0.009990121,0.016985464,0.538298052,0.525060507,0.443112453,1.83E-06,2.29E-06,1.59E-06
487,0.034975153,0.175660339,0.00370106,0.12241881,0.173680932,0.039423962,0.151972231,0.230420127,0.119767992,0.004704113,0.107658032,0.080208705,0.010672823,0.016935665,0.540329652,0.524872915,0.443878351,1.83E-06,2.27E-06,1.59E-06
486,0.037913235,0.185450815,0.005801627,0.125182209,0.178635301,0.041912756,0.148115053,0.228723541,0.118002364,0.004314481,0.107050002,0.076515785,0.011445551,0.016897663,0.544449813,0.524651313,0.444536477,1.83E-06,2.26E-06,1.59E-06
485,0.041062057,0.195290037,0.008452724,0.127831741,0.183560439,0.044650274,0.144273846,0.226973023,0.116188539,0.003925941,0.106288412,0.072973232,0.012335219,0.016862905,0.550449679,0.524460306,0.44527461,1.82E-06,2.27E-06,1.59E-06
484,0.044576443,0.205169777,0.011683571,0.13037961,0.188579167,0.047853632,0.140488164,0.22515808,0.114309096,0.003549687,0.105352535,0.069532301,0.01326831,0.016920414,0.557835589,0.524317438,0.446068872,1.82E-06,2.27E-06,1.59E-06
483,0.048360337,0.215092074,0.01554015,0.132830282,0.193484371,0.05141739,0.136662152,0.223344539,0.112356315,0.003181671,0.104249458,0.066210795,0.014440474,0.017006188,0.566037936,0.524236582,0.446698736,1.82E-06,2.28E-06,1.59E-06
482,0.052409329,0.224961124,0.020058309,0.135199466,0.19844664,0.055365834,0.132984425,0.221487045,0.110420265,0.002833035,0.102981148,0.063007505,0.015819629,0.017079575,0.574392179,0.524174524,0.447386172,1.82E-06,2.28E-06,1.60E-06
481,0.056820705,0.234833394,0.025367314,0.137498474,0.203324717,0.059463614,0.12940502,0.219591265,0.108430648,0.002525659,0.10157627,0.059952884,0.017232111,0.017203454,0.581986946,0.524049455,0.448182092,1.81E-06,2.28E-06,1.60E-06
480,0.061652416,0.244665423,0.031218708,0.139739258,0.208268155,0.063927681,0.125974022,0.217632449,0.1064671,0.002274333,0.100064827,0.057078785,0.018718266,0.017323414,0.588157693,0.52407549,0.44892468,1.81E-06,2.29E-06,1.60E-06
479,0.066931168,0.254321563,0.037625384,0.141884723,0.213176397,0.068434706,0.1226876,0.215636352,0.10453362,0.002074283,0.098483838,0.05439534,0.020402264,0.017487092,0.592334815,0.524119511,0.449646243,1.81E-06,2.31E-06,1.61E-06
478,0.072691964,0.263910641,0.044649877,0.143998768,0.218111883,0.073146656,0.119556422,0.213613622,0.102598989,0.001921472,0.096846849,0.051874341,0.022118505,0.017697978,0.594138572,0.524007199,0.450323835,1.81E-06,2.32E-06,1.61E-06
477,0.078808353,0.273426992,0.052381528,0.146062038,0.223005896,0.07808223,0.116530802,0.211539291,0.10066381,0.001811239,0.095192656,0.049514069,0.023835846,0.017952683,0.593132265,0.523810151,0.451066671,1.80E-06,2.31E-06,1.61E-06
476,0.085568864,0.282743035,0.060836663,0.148070274,0.227995385,0.083234479,0.113696702,0.209424601,0.098845906,0.001720474,0.093542443,0.047378456,0.025755075,0.018302717,0.589505764,0.523814609,0.451751093,1.80E-06,2.31E-06,1.61E-06
475,0.092943036,0.291958331,0.070077136,0.150075489,0.232876428,0.088572736,0.111047069,0.207358261,0.097032523,0.001637788,0.091900479,0.045404838,0.027712398,0.018685684,0.583354004,0.523658128,0.452401153,1.80E-06,2.31E-06,1.61E-06
